person_id,product_id
855675829,865613886
855675829,416564265
855675829,534441825
104537885,865613886
104537885,799496665
104537885,416564265
820649146,799496665
820649146,138121600
407388344,865613886
407388344,44285984
435940778,930992949
435940778,44285984
435940778,429892578
542412529,630549873
542412529,936630193
542412529,474149109
765330236,449495496
100088891,416564265
691822659,474149109
691822659,697957669
363951993,429892578
363951993,688278748
363951993,344841963
638503580,44285984
638503580,630549873
638503580,799496665
658072951,474149109
